indice_tiempo,superficie_sembrada_mani_ha,superficie_cosechada_mani_ha,produccion_mani_t,rendimiento_mani_kgxha
1927,56314,54952,64724,946.50
1928,51788,50445,46186,927.44
1929,45606,44905,65410,982.90
1930,50332,50084,66445,963.42
1931,51370,46980,58663,1050.09
1932,85729,78265,78287,985.65
1933,89590,83193,104057,1002.41
1934,80038,73427,92772,992.36
1935,98550,89050,113508,1006.16
1936,127353,106319,79346,723.62
1937,122439,92595,69317,848.75
1938,81060,48282,40822,883.89
1939,89100,77118,84395.4,995.37
1940,75000,61935,61000,986.63
1941,73700,67079,82600,1117.46
1942,123582,109036,96057,786.42
1943,159390,145165,198888,842.59
1944,176700,142020,158250,831.26
1945,182000,154039,156200,867.43
1946,145704,113630,112800,917.05
1947,122050,107442,104700,898.91
1948,111250,94100,85150,868.58
1949,100500,76185,60600,811.30
1950,121150,105280,93200,888.52
1951,160600,141690,154700,868.15
1952,182434,175378,204000,911.89
1953,190000,181584,169650,883.56
1954,157000,148791,118000,897.04
1955,204640,195500,216200,900.57
1956,226180,221520,318000,871.85
1957,248098,239630,290300,846.69
1958,283800,259510,240800,718.81
1959,200400,189500,209300,823.82
1960,200600,189300,266000,894.14
1961,288500,279580,433000,944.63
1962,279300,266140,312000,1062.95
1963,361700,344280,333000,810.06
1964,388500,378430,439300,780.65
1965,351100,333300,410800,943.62
1966,335300,327500,354000,961.54
1967,294400,287250,282800,826.25
1968,253500,243500,217000,814.83
1969,215100,210500,234500,1036.25
1970,314000,309800,387600,1010.06
1971,320900,293800,252000,770.55
1972,388900,379000,440000,937.39
1973,349500,344500,290000,963.66
1974,383200,356800,375200,1020.52
1975,335000,308830,337900,1128.94
1976,370000,367000,600000,1195.85
1977,452000,428000,260000,741.46
1978,400000,392500,470000,801.53
1979,286600,279100,206000,629.61
1980,201300,196700,170000,539.43
1981,180000,179000,205000,799.21
1982,125100,125000,165000,636.57
1983,145700,145700,235000,862.04
1984,146000,146000,240000,815.80
1985,176000,173000,259000,816.94
1986,240400,238400,350000,1324.49
1987,193400,193340,274100,952.61
1988,153200,153200,190200,1080.67
1989,170400,165900,234700,1272.96
1990,198000,178820,310600,2043.38
1991,153300,153100,221400,1668.60
1992,110000,110000,233400,1874.40
1993,133700,133700,208100,1645.17
1994,155210,155110,237817,1510.87
1995,238900,238830,462390,1511.21
1996,328520,298070,280856,1175.78
1997,406560,383675,627695,1272.44
1998,336760,329710,340207,1132.24
1999,219360,219260,419600,1682.30
2000,252460,251060,394800,1591.14
2001,222370,222370,361900,1735.79
2002,157326,156426,220900,1478.86
2003,170223,167473,292950,1884.56
2004,211090,210820,444800,2090.50
2005,174039,163679,347323,1607.73
2006,215661,215061,600035,2217.64
2007,227889,227389,625349,2291.32
2008,264430,257430,605491,1938.25
2009,222053,218828,611040,2388.13
2010,264568,264568,701535,2215.64
2011,307238,307166,685722,2199.84
2012,418063,404022,1025857,2164.21
2013,411688,409312,1165924,2461.42
2014,425628,424628,1010777,2255.33
2015,368438,341838,1001113,2760.64
2016,364191,334050,1081032,2939.39
2017,452118,443864,921231,2435.19
2018,389054,387014,1337229,3234.21
2019,368651,367377,1285431,3083.86
2020,406026,401756,1267242,2857.54
2021,417145,406477,1346167,2954.93
2022,373847,371627,962674,2386.89
2023,433896,431991,1482827,3143.08
2024,533091,531866,1809537,3215.54
